address_id,address,matched,address_id2,address_matched,suburb,postcode,latitude,longitude,similarity
109,5 11 PATRICKS RD ARANA HILLS 4054 QLD,1,9783655.0,ARANA HILLS PLAZA SHOP 1 5 11 PATRICKS RD ARANA HILLS QLD 4054,ARANA HILLS,4054.0,-27.39910316467290,152.95909118652300,0.8
110,TENANCY 56 HOMEWORLD HELENSVALE 502 HOPE ISLAND ROAD HELENSVALE 4212 QLD,1,4061224.0,SHOP 56 502 HOPE ISLAND RD HELENSVALE QLD 4212,HELENSVALE,4212.0,-27.8876953125,153.31918334960900,0.7105263157894740
111,HAYNES SHOPPING CENTRE CORNER EIGHTH ROAD ARMADALE ROAD HAYNES 6442 WA,0,,,,,,,
112,491 MASONITE ROAD HEATHERBRAE 2324 NSW,1,2048172.0,491 MASONITE RD HEATHERBRAE NSW 2324,HEATHERBRAE,2324.0,-32.78299331665040,151.737548828125,0.8928571428571430
113,SHOP 2 38 ABBOTT ROAD SEVEN HILLS 2147 NSW,1,1404178.0,38 ABBOTT RD SEVEN HILLS NSW 2147,SEVEN HILLS,2147.0,-33.76691436767580,150.954833984375,0.53125
114,SHOP 1 THE CONCOURSE 409 VICTORIA AVENUE CHATSWOOD 2067 NSW,1,5938157.0,SHOP 1 409 VICTORIA AV CHATSWOOD NSW 2067,CHATSWOOD,2067.0,-33.795562744140600,151.1837615966800,0.7435897435897440
115,SHOP 24A 100 PARRAMATTA ROAD AUBURN 2144 NSW,0.5,8575373.0,SHOP 14 100 PARRAMATTA RD AUBURN NSW 2144,AUBURN,2144.0,-33.84645462036130,151.0432586669920,0.5901639344262300
116,5 PINE STREET NORTH IPSWICH 4305 QLD,1,15545210.0,5 PINE ST NORTH IPSWICH QLD 4305,NORTH IPSWICH,4305.0,-27.60793113708500,152.76266479492200,0.9056603773584910
117,R 12B 275 KENT ST SYDNEY 2000 NSW,1,6111544.0,275 KENT ST SYDNEY NSW 2000,SYDNEY,2000.0,-33.86598205566410,151.20382690429700,0.5185185185185190
118,9 KING STREET WARNERS BAY 2282 NSW,1,1542011.0,9 KING ST WARNERS BAY NSW 2282,WARNERS BAY,2282.0,-32.96841812133790,151.65135192871100,0.88
119,130 136 ANZAC HWY GLANDORE 5037 SA,1,8029301.0,134 136 ANZAC HWY GLANDORE SA 5037,GLANDORE,5037.0,-34.95534896850590,138.56890869140600,0.5833333333333330
120,1382 ALBANY HIGHWAY CAROUSEL 6107 WA,1,59219.0,WESTFIELD CAROUSEL SHOPPING CE 1382 ALBANY HWY CANNINGTON WA 6107,CANNINGTON,6107.0,-32.01876449584960,115.93844604492200,0.5795454545454550
121,TARNEIT CENTRAL 540 DERRIMUT ROAD TARNEIT 3029 VIC,1,11125421.0,TARNEIT CENTRAL 540 DERRIMUT RD TARNEIT VIC 3029,TARNEIT,3029.0,-37.83635330200200,144.6911163330080,0.8888888888888890
122,CNR DEAKIN AVE FIFTEENTH STREET MILDURA 3500 VIC,0,,,,,,,
